query	positive	negative
mocha hickory mpr	Heritage Mill Vintage Hickory Mocha 3/4 in. Thick x 2 in. Wide x 78 in. Length Hardwood Flush Mount Reducer Molding$Flush Mount Reducer transitions a hardwood floor to a lower hard surface floor. The durable finish coordinates with our real wood floors. Use with Heritage Mill Vintage Hickory Mocha 3/4 in. thick Solid Floor. This molding is proudly crafted in Johnson City, Tennessee from wood grown and responsibly harvested. Attach moldings to wood subfloors using countersunk nails and finish with putty. Adhere moldings to concrete subfloors using construction adhesive.California residents: see&nbsp;Proposition 65 informationWood Species: Real Domestic Hickory Hardwood3/4 in. Thickness x 2 in. Width x 78 in. Length MoldingItem coordinates with 3/4 in. thick hardwood flooringConstruction: Solid Wood Flush Mount ReducerPrefinished Mocha, Dark Color, Clear FinishJanka wood hardness rating/resistance to denting: 1820Appropriate Grade for Installation: Above Grade, On Grade or Below GradeInstallation: Glue or nail downResidential or commercial useAll online orders for this item ship via parcel ground and may arrive in multiple boxes$Wood Species: Real Domestic Hickory Hardwood#3/4 in. Thickness x 2 in. Width x 78 in. Length Molding#Item coordinates with 3/4 in. thick hardwood flooring#Construction: Solid Wood Flush Mount Reducer#Prefinished Mocha, Dark Color, Clear Finish#Janka wood hardness rating/resistance to denting: 1820#Appropriate Grade for Installation: Above Grade, On Grade or Below Grade#Installation: Glue or nail down#Residential or commercial use#All online orders for this item ship via parcel ground and may arrive in multiple boxes#Mocha#Brown#Commercial / Residential#Prefinished#Hardwood Moulding/Trim#Indoor#No#Heritage Mill#78#0.75#1.14#2#Nails#No#0.75#2.0 x 78.0	Zamma Alameda Hickory 1/2 in. Thick x 1-3/4 in. Wide x 72 in. Length Laminate Multi-Purpose Reducer Molding$Alameda Hickory Multi-Purpose Reducer is used to transition floors of unequal height from wood/laminate floors to carpet, vinyl or tile. This molding will provide a seamless look when transitioning between flooring surfaces. Coordinates with laminate flooring providing a beautiful finished look.California residents: see&nbsp;Proposition 65 informationAlameda Hickory Laminate Molding1/2 in. thickness x 1-3/4 in. width x 72 in. lengthAppropriate Grade for Installation: Above Grade, On Grade or Below GradeCan be installed over both concrete and wooden subfloorsResidential and commercial useWarranty: 25-year residential, 8-year commercialAll online orders for this item ship via parcel groundThis product is proudly manufactured in the USA by Zamma CorporationCoordinates with laminate flooringClean with damp clothNo painting or staining necessary$Alameda Hickory Laminate Molding#1/2 in. thickness x 1-3/4 in. width x 72 in. length#Appropriate Grade for Installation: Above Grade, On Grade or Below Grade#Can be installed over both concrete and wooden subfloors#Residential and commercial use#Warranty: 25-year residential, 8-year commercial#All online orders for this item ship via parcel ground#This product is proudly manufactured in the USA by Zamma Corporation#Coordinates with laminate flooring#Clean with damp cloth#No painting or staining necessary#Brown#Alameda  Hickory#Commercial / Residential#Smooth#Laminate Moulding/Trim#Low Gloss#Indoor#Laminate#Medium Density Fiberboard, paper, resin (both acrylic and melamine) polyurethane hot metal and olefin hot metal adhesive#Zamma#Wood#72#10#1.75#No#1.75 x 72
locks for sliding doors	Prime-Line White Twist-in Sliding Patio Door Lock$The Defender Security White Twist-In Sliding Patio Door Lock is designed to prevent the sliding and lifting of your patio door. The bolt can be locked securely in closed or ventilating position.Helps prevent sliding and lifting of doorCan locks door in closed or ventilating positionZamac-cast housing with a white finishBolt locks into 1/4 in. hole drilled into fixed-panel rail with twist-in action$Adjustable#0#Helps prevent sliding and lifting of door#Can locks door in closed or ventilating position#Zamac-cast housing with a white finish#Bolt locks into 1/4 in. hole drilled into fixed-panel rail with twist-in action#No Certifications or Listings#Commercial,Residential#White#White#Prime-Line#1.375 in#5.438 in#0.175 lb#3.813 in#1 3/8 to 1 3/4#Lock & Door Reinforcer#Without Handle	Prime-Line Steel Sliding Glass Door Mortise Lock$The Prime-Line Products Steel Sliding Glass Door Mortise Lock installs into your door stile. It features a 45-degree keyway when the hook is in a locked position, as well as adjustable hook projection.Fits doors using W and F-manufactured handlesRound-end faceplate45-degree keyway when hook is in locked positionAdjustable hook projectionSteel constructionMortise installation into door stile$Bypass Door Hardware#Fits doors using W and F-manufactured handles#Round-end faceplate#45-degree keyway when hook is in locked position#Adjustable hook projection#Steel construction#Mortise installation into door stile#Stainless Steel#Silver#Metal#Prime-Line#1.125#3.688#0.5
wainscot chair rail	House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit$The House of Fara 8 Linear ft. primed MDF Overlapping Wainscot Paneling will help you create an 8 linear ft. section of wainscot with chair rail and base moulding. Paint this easy to install primed paneling to complement your decor. Its unique detail will add an architectural touch to any room or project.California residents: see&nbsp;Proposition 65 informationMDF kit includes, 1-piece 8 ft. chairrail, 1-piece 8 ft. base and 16 pieces 32 in. panelsOverlapping wainscotPrimed and ready to be painted to your preferenceEasy to install instructions includedKit includes chair rail and base moulding$Wall#MDF kit includes, 1-piece 8 ft. chairrail, 1-piece 8 ft. base and 16 pieces 32 in. panels#Overlapping wainscot#Primed and ready to be painted to your preference#Easy to install instructions included#Kit includes chair rail and base moulding#White#White#Primed#Medium Density Fiberboard (MDF)#House of Fara#Tongue and Groove#Beadboard#Wainscoting Kit#0.312#32#0.312#5.906#18	8 ft. MDF Cape Cod Estate Moulding Trim Pack (4-Piece)$This 8 ft. Cape Cod MDF Estate Moulding Trim Pack includes two (2) 8 ft. long chair rails and two (2) 8 ft. long base mouldings to help you add elegance and style to your home. The MDF material is primed and ready for painting.California residents: see&nbsp;Proposition 65 informationAdds value to any homeCan be painted to match your decorPre-cut and pre-grooved for quick and easy application when installed with cape cod bead board wainscot (not included)Simple, 3-step installationMade from medium density fiberboard (mdf)Two (2) chair rails - dimensions of each: 96 in. l x 3-5/8 in. h x 13/16 in. dTwo (2) base mouldings - dimensions of each: 96 in. l x 4-1/2 in. h x 9/16 in. dCarb phase II compliant$Wall#Adds value to any home#Can be painted to match your decor#Pre-cut and pre-grooved for quick and easy application when installed with cape cod bead board wainscot (not included)#Simple, 3-step installation#Made from medium density fiberboard (mdf)#Two (2) chair rails - dimensions of each: 96 in. l x 3-5/8 in. h x 13/16 in. d#Two (2) base mouldings - dimensions of each: 96 in. l x 4-1/2 in. h x 9/16 in. d#Carb phase II compliant#Primed#Medium Density Fiberboard (MDF)#Unbranded#Tongue and Groove#Traditional#Wainscoting Kit#4.5#192#4
Paint roller pole	Economy 4 ft. Wood Extension Pole with Metal Tip$The economy 4 ft. wood extension pole is a versatile tool. This pole has a threaded metal tip which fits all standard paint and household tools. The wood is FSC certified as a SmartWood product to minimize environmental impact.Natural wood provides good gripCompatible with standard threaded scrub brushes and roller framesLightweight and durableReusable$Extension Pole#Natural wood provides good grip#Compatible with standard threaded scrub brushes and roller frames#Lightweight and durable#Reusable#Nonadjusting#4#Economy#4#1#Applicator/Tool#No#1 in#.75#No#No#No	Wooster Sherlock GT Conversion Tip (2-Pack)$Change any Sherlock GT Convertible pole so that it is compatible with all extension pole adaptable items, such as roller frames, mops, brooms, Wooster AeroDuster and AeroSander. If an extra conversion tip is needed to replace a lost tip. Here is the handy 2 pack to help you out.Adapt threaded applicator tools to the Wooster quick on and off systemWorks only with Sherlock GT or Sherlock GT convertible extension polesMade of durable, fiberglass-reinforced nylonHandy 2 pack tipsMade in USA$Extension Pole#Adapt threaded applicator tools to the Wooster quick on and off system#Works only with Sherlock GT or Sherlock GT convertible extension poles#Made of durable, fiberglass-reinforced nylon#Handy 2 pack tips#Made in USA#Nonadjusting#Wooster#Applicator/Tool#1.85#0.5 in#3.25#0.325 ft#0.1#3#No#No
tile thinset	Custom Building Products CustomBlend Gray 50 lb. Standard Thin-Set Mortar$Custom Building Products CustomBlend 50 lb. Standard Thin-Set Mortar offers economy with good bond strength for most tile projects and is recommended for floor installations. Good for setting Saltillo and other similar clay pavers. Offers good working time to apply and adjust tiles.California residents: see&nbsp;Proposition 65 informationFor floor installations, basic tile jobs and to set saltillo or clay paversDries in 24 hours for good working timeCovers up to 100 sq. ft.Mix with Acrylic Mortar Admix (not included) for best results or when setting dense tile and over EGP plywood, existing flooring and for exterior applicationsMeets ANSI A118.1 without additives and meets ANSI A118.4 and A118.11 when mixed with Acrylic Mortar Admix$Water/latex admixture#For floor installations, basic tile jobs and to set saltillo or clay pavers#Dries in 24 hours for good working time#Covers up to 100 sq. ft.#Mix with Acrylic Mortar Admix (not included) for best results or when setting dense tile and over EGP plywood, existing flooring and for exterior applications#Meets ANSI A118.1 without additives and meets ANSI A118.4 and A118.11 when mixed with Acrylic Mortar Admix#Grays#Commercial / Residential#24#Floor and wall#Ceramic Floor/Wall Tile#Indoor/Outdoor#100#Custom Building Products#Yes#Mortar#50#15	Custom Building Products VersaBond Gray 50 lb. Fortified Thin-Set Mortar$Custom Building Products VersaBond 50 lb. Fortified Thin-Set Mortar is a professional formula, all-purpose mortar, polymer-modified to provide good bond strength for floor and tile projects. VersaBond cures quickly even in cold climates and adheres to most surfaces. This is a cost-efficient, all-purpose mortar.California residents: see&nbsp;Proposition 65 informationFor use over concrete, cement backerboards, drywall, exterior grade plywood, existing ceramic tile, vinyl flooring and plastic laminatesFor indoor or outdoor applicationsGreat for a wide variety of tile and stone floors, walls and countertopsPolymer modified, high-grade mortar offers strong bondsReliable and easy to useDries in 24 hoursCovers up to 100 sq. ft.Meets ANSI A118.4 and A118.11 specifications without the need for additivesAdd water and mix to apply$Water#For use over concrete, cement backerboards, drywall, exterior grade plywood, existing ceramic tile, vinyl flooring and plastic laminates#For indoor or outdoor applications#Great for a wide variety of tile and stone floors, walls and countertops#Polymer modified, high-grade mortar offers strong bonds#Reliable and easy to use#Dries in 24 hours#Covers up to 100 sq. ft.#Meets ANSI A118.4 and A118.11 specifications without the need for additives#Add water and mix to apply#Grays#Commercial / Residential#24#Floor and wall#Ceramic Floor/Wall Tile#Indoor/Outdoor#100#Custom Building Products#Yes#Mortar#50#14
bended	Serta Santa Rosa Collection Bonded Leather Accent Chair in Black/Espresso$Made with the Serta legacy of quality, comfort and style with the Serta at Home Santa Rosa Collection Bonded Leather Accent Chair lets you create a designer-like look in any room when you pair it with the Santa Rosa Collection loveseat and sofa. Built to last, this accent chair is made with hardwood materials for reliable stability and durability. High-density foam and poly-fibers surround individually wrapped coils to create comfortable cushioned seating you can relax in. Made with shape-retaining material, the pillowed back cushion keeps its shape to continue providing lasting support even after years of being leaned on. Finished in a smooth, eco-friendly bonded leather, this small accent chair adds contemporary style to your home decor. No tools are required for set up, so you can quickly assemble and disassemble this Serta at Home accent chair with ease. It can be disassembled to fit into an easily portable box, making it a great choice for apartments and smaller spaces.Stylish and affordable solution to compliment smaller spacesTool-free set up makes it simple to assemble and disassemble for easy movingComes in 1 easily transportable compact box that is easy to maneuver up stairs and around cornersReinforced hardwood material frame for strength and durabilityHardwood material and non-woven ultra-wide strapping for dense, sturdy back structurePremium S-coil for extra supportIndividually wrapped coils surrounded by high-density foam and quality poly-fibers for supportive seatingPillowed back cushion features a poly-fiber core and non-woven cover that retains shape and density for lasting comfortSolid steel fastening hardware is durable and long-lastingWood legs provide durability and stability$32.50 in#35 in#30 in#Yes#16#Stylish and affordable solution to compliment smaller spaces#Tool-free set up makes it simple to assemble and disassemble for easy moving#Comes in 1 easily transportable compact box that is easy to maneuver up stairs and around corners#Reinforced hardwood material frame for strength and durability#Hardwood material and non-woven ultra-wide strapping for dense, sturdy back structure#Premium S-coil for extra support#Individually wrapped coils surrounded by high-density foam and quality poly-fibers for supportive seating#Pillowed back cushion features a poly-fiber core and non-woven cover that retains shape and density for lasting comfort#Solid steel fastening hardware is durable and long-lasting#Wood legs provide durability and stability#Wipe clean with a damp cloth, Do not use strong upholstery cleaners (suggest to test a small area).#Other#None#Black/Espresso#Black#Serta#Solid#32.5#35#38.58#30#21#19#21#Modern#250	Everbilt 3/8 in. x 1/2 in. Galvanized Bonded Sealing Washer (4-Piece)$Bonded sealing washers are a single piece metal and neoprene sealing washer. The metal side absorbs the pressure of a nail head or screw while the neoprene side forms a tight water resistant seal. Often used outdoors in metal applications. Rust resistant.California residents: see&nbsp;Proposition 65 information4-piece per packSteel constructionGalvanized finish3/8 in.$4-piece per pack#Steel construction#Galvanized finish#3/8 in.#Metallics#Galvanized#Bonded Sealing Washer#Other#3/8 in#.38#Steel#SAE#Everbilt#1/2 in#.5#4#0.25#4.25#0.018#2#3/8 in#0.065 in
bed frame for headboards   foot boards	PRI All-in-1 Queen-Size High Back Headboard and Bed Frame in Stone$The chic and pleasing smooth stone finish of the All-in-1 High Back Bed makes an alluring addition to any bedroom or guest room while establishing a comfortable spot for relaxing. This luxurious upholstered bed adds a splash of sophistication to any room while serving as a backdrop to showcase your favorite fabric and decorative pillows. The contemporary design brings a blend of styles that mesh together to form a cohesive, versatile piece that seamlessly adapts to any range of bedroom sizes and colors.100% polyester fabric coverPlywood panel construction, thick foam padding and rubberwood solid legs for long lasting durabilityNeutral fabric color to fit the needs of many of today's homesMinimal assembly requiredIncludes headboard and footboard, bedding sold separately1-year limited warranty$86.38 in#59 in#65 in#Yes#Wood#No#100% polyester fabric cover#Plywood panel construction, thick foam padding and rubberwood solid legs for long lasting durability#Neutral fabric color to fit the needs of many of today's homes#Minimal assembly required#Includes headboard and footboard, bedding sold separately#1-year limited warranty#No#None#Stone#Gray#Wood#Queen#PRI#59#86.38#86.64#65#400	South Shore Furniture Bedtime Story Wood Laminate Queen-Size Platform Bed in Chocolate$This Bedtime Story Chocolate Queen-Size Platform Bed matches all decor types. It is great value for your money, as it does not require a box spring. Moulding on 3 sides keeps the mattress in place while adding a stylish look.Box spring is not requiredTop surface is unfinishedMatches with any chocolate south shore furnitureComplete assembly required by 2 adults no tools providedChameleon style as it blends in any decor typeManufactured from certified environmentally preferred laminated particle panelsMattress and accessories not included$64 in#10 in#81.5 in#Yes#Box spring is not required#Top surface is unfinished#Matches with any chocolate south shore furniture#Complete assembly required by 2 adults no tools provided#Chameleon style as it blends in any decor type#Manufactured from certified environmentally preferred laminated particle panels#Mattress and accessories not included#No#None#Chocolate#Chocolate#Dark Brown Wood#Queen#South Shore Furniture#10#81.5#136#64#500
seam strips	TrafficMASTER Oak Seam Binder$The M-D Building Products Oak Seam Binder is manufactured from Northern red oak, a durable and visually appealing wood. The unfinished seam binder bridges a seam or a gap between 2 flooring surfaces of equal height. Uses include doorways and other openings.Provides a transition between flooring surfaces of equal heightProtects edges of flooringCovers seamUnfinished Northern red oak for beauty and durability3 ft. lengthIncludes fasteners and pre-drilled holes for hassle-free installation$Provides a transition between flooring surfaces of equal height#Protects edges of flooring#Covers seam#Unfinished Northern red oak for beauty and durability#3 ft. length#Includes fasteners and pre-drilled holes for hassle-free installation#No Certifications or Listings#Wood#Commercial / Residential#Yes#Medium Brown Wood#Accessory#Carpet#Wood#TrafficMASTER#36#3	TrafficMASTER Unfinished 3/8 in. x 3 in. x 72 in. Hardwood Seam Binder$The unfinished hardwood seam binder easily covers a seam or gap between two flooring surfaces of equal height. Seam binders prevent carpet edges from fraying, vinyl floor seams from curling and creates a smooth transition between different flooring surface.California residents: see&nbsp;Proposition 65 informationNatural wood withstands high foot traffic areas in the homeFor use in doorways, room entry ways or other locations where two flooring surfaces meetScrew nails fit firmly in pre-drilled holes for easy installationCan be cut to desired length with hand sawUnfinished wood is ideal for staining$Natural wood withstands high foot traffic areas in the home#For use in doorways, room entry ways or other locations where two flooring surfaces meet#Screw nails fit firmly in pre-drilled holes for easy installation#Can be cut to desired length with hand saw#Unfinished wood is ideal for staining#ADA Compliant#Unfinished#Wood Grain#Wood#Residential#Oak#Yes#Unfinished#Engineered Wood Moulding/Trim#Hardwood#Indoor#Wood#TrafficMASTER#No#No#72#0.375 in#2.186#3#Stainable & Paintable#0.375 in#Northern Red Oak
clear glass orb pendant	Illumine Designer Collection 1-Light Chrome Pendant with Clear Glass Shade$This 1-Light Pendant, part of the Designer Collection, offers a trendy solution that is sure to satisfy all your lighting needs. This pendant combines unique styling and excellent quality to create the perfect blend that will exceed your expectations. Combining a chrome finish with clear glass shade, this functional yet stylish fixture will add a renewing element in various decor settings.Uses 1 B bulbEasy installation instructions and template enclosed for convenient setupIncludes installation hardwareAdds contemporary styling and visual interest to your decorPlease allow 3 days for shippingFixture is equipped with gold shades$No#No#Incandescent#Uses 1 B bulb#Easy installation instructions and template enclosed for convenient setup#Includes installation hardware#Adds contemporary styling and visual interest to your decor#Please allow 3 days for shipping#Fixture is equipped with gold shades#1-UL Listed#Standard#Designer Collection#Hardwired#No#Chrome#Stainless Steel#Yes#Hardware Included#Medium#Incandescent#120#0#Illumine#1#Large Pendant#5#60#4.5#5#A19#Bronze#40 W	PLC Lighting 1-Light Polished Chrome Mini Drop Pendant with Clear Glass Shade$Contemporary Beauty is a line of quality new age fixtures that appeal to your more affluent side. This line is sure to universally please by offering fixtures with halogen, CFL, or standard incandescent bulbs. With a selection that ranges from unique wall sconces to luxuriant chandeliers, available in the lamp options you desire, Contemporary Beauty has the variety and style to ensure you will find the perfect fixture to showcase the allure of any room.1-light mini drop pendantPolished chrome finishUL listed for safetyAdds contemporary styling and visual interest to your decorFixture is equipped with Italian ice glass$No#No#Incandescent,No Bulbs Included#1-light mini drop pendant#Polished chrome finish#UL listed for safety#Adds contemporary styling and visual interest to your decor#Fixture is equipped with Italian ice glass#1-UL Listed#Standard#Contemporary Beauty#Hardwired#No#Polished Chrome Finish#Stainless Steel#No#Hardwired#Medium#Incandescent#120#0#PLC Lighting#1#Mini Pendant#7#7#5#19#E-11#Bronze#40 W
heater fan	Broan 50 CFM Ceiling Exhaust Fan with Light and Heater$The Broan 50 CFM White Exhaust Fan with Light and Heater ventilates your bathroom to help prevent mildew. The fan features quiet operation and 100-watt light capacity (bulb not included). The adjustable design of its 1,300-watt heater helps you direct the heat where you want it for versatile and convenient use.50 CFM moves air quickly to ventilate your bathroom2-1/2 sones for quiet operationVents moisture in bathrooms up to 45 sq. ft.Features 100-watt light (not included) capacityIncludes one 1,300-watt heater with adjustable design to help you direct the heatWhite grille for a clean, attractive lookSteel housing provides durability1-UL listedHome Depot Protection Plan:$	Hunter Westover 52 in. New Bronze Indoor Ceiling Fan$Beauty, innovation, comfort and energy savings all come together stylishly in the 4 Seasons Heater Fan giving you the best of both worlds - enhancing your home's decor while increasing its energy efficiency. The Westover is unique among ceiling fans in that it features a 700-Watt Illumi-Heat Lighting Fixture and PTC ceramic heating element that can keep your home feeling cozy during colder months. The aerodynamic design directs heat downward and the fan offers 3-speed downdraft and updraft options. Also, the blades help circulate heat evenly throughout a room, helping to prevent cold spots and to lengthen the time between each heat cycle. Designed with homeowners in mind, this fan features Hunter`s patented EZ Hang Mounting System, which makes installation simple and safe. And the Westover installs just like a standard ceiling fan with no dedicated circuit required.New bronze finish5 dark walnut/cherry reversible blades5005 CFMReversible motor 3-speed pull-chain control for easy useDesigned for interior useLimited lifetime warrantyIncludes a 3-light kit with amber glass bowlIncludes three 40-Watt candelabra based bulbsBlades are specially coated using Hunter's patented Dust Armor nanotechnology to repel dust build-upIllumni-heat lighting fixture featuring 700-Watt PTC ceramic heating elementRemote control included for separate operation of light, heat and fan functionsNo dedicated circuit required; installs like a standard ceiling fanBlades are specially coated with patented Dust Armor nanotechnology to repel dust build-up$5005#52 in#20.87 in#52 in#Cherry,Walnut#Incandescent#Incandescent#New bronze finish#5 dark walnut/cherry reversible blades#5005 CFM#Reversible motor 3-speed pull-chain control for easy use#Designed for interior use#Limited lifetime warranty#Includes a 3-light kit with amber glass bowl#Includes three 40-Watt candelabra based bulbs#Blades are specially coated using Hunter's patented Dust Armor nanotechnology to repel dust build-up#Illumni-heat lighting fixture featuring 700-Watt PTC ceramic heating element#Remote control included for separate operation of light, heat and fan functions#No dedicated circuit required; installs like a standard ceiling fan#Blades are specially coated with patented Dust Armor nanotechnology to repel dust build-up#52#ETL Listed#Bronze#Residential#Dry#3#No#No#21.5#4.5#Light Kit Compatible,Reversible Blades,Reversible Motor#Frosted/Patterned#Bronze#Angle Mount Hardware,Downrod Included,Hardware Included,Light Kit Included,Remote Control Included#Indoor#Bowl#Hunter#142#Angled,Flush,Standard#5#31#No#Yes#Yes#Yes#No
tomato tone 20 pound	planto 6 in. Garden Pegs (20-Pieces)-DISCONTINUED$This set of ten multi-anchor plant hooks are perfect for ropes, strings and fleeces. The green hooks are made of strong environmentally friendly polypropylene material that do their job reliably in almost every type of soil. The special multi-anchor form can be fixed well in the ground but can also be removed easily and replaced securely. With 10 plants hooks per package, you have plenty for all your gardening needs.Ideal for peggingRe-usable5.7 inches in lengthMade from heavy duty polypropylene$Ideal for pegging#Re-usable#5.7 inches in length#Made from heavy duty polypropylene#Plant Support#planto#1#5.71#1	Espoma 20 lbs. Citrus Tone and Avocado Food-DISCONTINUED$Citrus-tone is the result of The Espoma Company s expertise in natural organics combined with recommendations from leading research universities. It is made from all natural and organic ingredients and contains no sludges or fillers. The organics in Citrus-tone break down gradually to provide a safe, long lasting food reservoir throughout the growing season. We also add Bio-tone a proprietary blend of microbes that biologically enhances our plant food to ensure superior plant growth.Citrus and avocado foodFeeds citrus, fruit and nut treesFor organic gardeningSafe for people, pets, and the environment$
natural gas fireplaces	Emberglow 24 in. Split Oak Vented Natural Gas Log Set$The Emberglow 24 in. Split Oak Vented Gas log Set has an innovative dual burner that creates the most realistic dancing flames. The naturally stacked log design re-creates the look of a mature fire. Chimney flue must be in the open position.60,000 BTU's with superior flame patterns8 highly detailed, hand-painted logs sit over a beautiful bed of glowing embersEnvironmentally friendly; no ash; no wood to split; no chimney cleaning, no hassleRequires a working chimney or flueSet operates on natural gas; it requires a safety pilot kit (item CVS-303) and vermiculite (item acc18) to convert to liquid propane operationVented log sets produce as much heat as a real wood burning fireAdd optional accessory model RVS-304 for a standing pilot and remote control operationSet comes complete with ash mix, glowing embers, and gas connection hardware$60,000 BTU's with superior flame patterns#8 highly detailed, hand-painted logs sit over a beautiful bed of glowing embers#Environmentally friendly; no ash; no wood to split; no chimney cleaning, no hassle#Requires a working chimney or flue#Set operates on natural gas; it requires a safety pilot kit (item CVS-303) and vermiculite (item acc18) to convert to liquid propane operation#Vented log sets produce as much heat as a real wood burning fire#Add optional accessory model RVS-304 for a standing pilot and remote control operation#Set comes complete with ash mix, glowing embers, and gas connection hardware#ANSI Certified#Oxygen Depletion System#Natural Gas#24#Emberglow#15#15#73#24.5#Vented	Emberglow Remote Controlled Safety Pilot Kit for Vented Gas Logs$The Remote Controlled Safety Pilot Kit serves 2 main purposes, to add a remote control operation to your vented log set that currently requires lighting with a match or lighter, to convert your current vented log set from Natural Gas to Liquid Propane. Forget the hassles of lighting your vented gas log set with a match or lighter. Now you can use this remote control option to light your logs from anywhere in the room.Accessory provides a standing pilot light that can be controlled via remote control which allows you to turn the unit on/offSafely shuts off gas supply if flames are extinguishedComes complete with everything you'll need to convert your natural gas vented log set to operate on liquid propaneNow comes with vermiculite for use when converting from NG to LP gasOmni certified for your safety$Safety Pilot Kit#Accessory provides a standing pilot light that can be controlled via remote control which allows you to turn the unit on/off#Safely shuts off gas supply if flames are extinguished#Comes complete with everything you'll need to convert your natural gas vented log set to operate on liquid propane#Now comes with vermiculite for use when converting from NG to LP gas#Omni certified for your safety#Emberglow#7.5#2#3#6
over the john cabinet in mahogany	St. Paul Arkansas 24 in. W Over John Wall Cabinet in White$Enjoy classic elegance with the St. Paul Arkansas Over John Wall Cabinet in White, featuring ample storage space for bathroom necessities. Durable construction is finished in clean white to brighten your bathroom area, while the adjustable shelving behind 2 decorative doors offers custom storage capacity for versatile item shapes and sizes. An open lower cubby provides additional, easy-access storage for frequently used items and is also ideal for displaying collectibles. Brushed nickel door pulls and concealed, adjustable European hinges offer a striking designer touch to enhance any decor.24 in. W x 30 in. H x 6.89 in. D, providing ample storage for bath necessitiesDoors are constructed from 5/8 in. MDF with rigid thermofoil covering for lasting durabilityClean inset decoration on doors complements a wide variety of bathroom designsAdjustable interior shelving provides plenty of customized storage spaceOpen lower shelf offers additional space for accessories or collectiblesBrushed nickel door pulls add an elegant designer touchDoors feature 6-way adjustable European concealed hinges for easy alignment and a sleek lookClean white finish is easy to clean and brightens any roomPre-assembled and ready to install exactly where you need itDesigned to complement the St. Paul Arkansas line of vanity cabinetsNote: Product may vary by store$Yes#Yes#6.89 in#30 in#24 in#No#24 in. W x 30 in. H x 6.89 in. D, providing ample storage for bath necessities#Doors are constructed from 5/8 in. MDF with rigid thermofoil covering for lasting durability#Clean inset decoration on doors complements a wide variety of bathroom designs#Adjustable interior shelving provides plenty of customized storage space#Open lower shelf offers additional space for accessories or collectibles#Brushed nickel door pulls add an elegant designer touch#Doors feature 6-way adjustable European concealed hinges for easy alignment and a sleek look#Clean white finish is easy to clean and brightens any room#Pre-assembled and ready to install exactly where you need it#Designed to complement the St. Paul Arkansas line of vanity cabinets#Note: Product may vary by store#White#White#White#St. Paul#Wall#2#0#1#Adjustable Hinges,Adjustable Shelves#Hardware#24#29 and under	Glacier Bay Del Mar 20-1/2 in. W Over John Wall Cabinet in White$The Glacier Bay Del Mar 20-1/2 in. W Over John Wall Cabinet in White has a Shaker-inspired design that will give your bath or powder room decor a classic look. Durable and sturdy, this cabinet has plenty of versatile storage space with two interior adjustable shelves and a single open shelf below. The brushed nickel hardware perfectly complements the fresh white finish, while hidden adjustable hinges provide a clean and seamless look. Perfect for smaller spaces, this cabinet is easy to install and coordinates with the Del Mar Vanity and other pieces from the Del Mar Collection. Limited lifetime warranty.Large upper storage area with open lower storage for easy accessHidden adjustable hinges are durable and facilitate easier door alignmentBrushed nickel pulls are sturdy and stylish and complement the white finishPre-assembled for easy installationUnit is 7.5 in. DUnit is 20.5 in. WUnit is 25.6 in. HUnit mounts on wall$7.5 in#25.6 in#20.5 in#No#Large upper storage area with open lower storage for easy access#Hidden adjustable hinges are durable and facilitate easier door alignment#Brushed nickel pulls are sturdy and stylish and complement the white finish#Pre-assembled for easy installation#Unit is 7.5 in. D#Unit is 20.5 in. W#Unit is 25.6 in. H#Unit mounts on wall#White#White#Wood#Glacier Bay#Wall#2#0#3#Adjustable Hinges,Adjustable Shelves#Hardware#20.5
